> print (meltedAllData)
       subject           activity                        variable         value
1            1           STANDING               tBodyAcc-mean()-X  2.885845e-01
2            1           STANDING               tBodyAcc-mean()-X  2.784188e-01
3            1           STANDING               tBodyAcc-mean()-X  2.796531e-01
4            1           STANDING               tBodyAcc-mean()-X  2.791739e-01
5            1           STANDING               tBodyAcc-mean()-X  2.766288e-01
6            1           STANDING               tBodyAcc-mean()-X  2.771988e-01
7            1           STANDING               tBodyAcc-mean()-X  2.794539e-01
8            1           STANDING               tBodyAcc-mean()-X  2.774325e-01
9            1           STANDING               tBodyAcc-mean()-X  2.772934e-01
10           1           STANDING               tBodyAcc-mean()-X  2.805857e-01
11           1           STANDING               tBodyAcc-mean()-X  2.768803e-01
12           1           STANDING               tBodyAcc-mean()-X  2.762282e-01
13           1           STANDING               tBodyAcc-mean()-X  2.784570e-01
14           1           STANDING               tBodyAcc-mean()-X  2.771750e-01
15           1           STANDING               tBodyAcc-mean()-X  2.979457e-01
16           1           STANDING               tBodyAcc-mean()-X  2.792035e-01
17           1           STANDING               tBodyAcc-mean()-X  2.790384e-01
18           1           STANDING               tBodyAcc-mean()-X  2.801349e-01
19           1           STANDING               tBodyAcc-mean()-X  2.777311e-01
20           1           STANDING               tBodyAcc-mean()-X  2.755682e-01
21           1           STANDING               tBodyAcc-mean()-X  2.775617e-01
22           1           STANDING               tBodyAcc-mean()-X  2.771524e-01
23           1           STANDING               tBodyAcc-mean()-X  2.756763e-01
24           1           STANDING               tBodyAcc-mean()-X  2.792002e-01
25           1           STANDING               tBodyAcc-mean()-X  2.817155e-01
26           1           STANDING               tBodyAcc-mean()-X  2.789927e-01
27           1           STANDING               tBodyAcc-mean()-X  2.757344e-01
28           1            SITTING               tBodyAcc-mean()-X  1.445040e-01
29           1            SITTING               tBodyAcc-mean()-X  2.872516e-01
30           1            SITTING               tBodyAcc-mean()-X  2.799976e-01
31           1            SITTING               tBodyAcc-mean()-X  2.218469e-01
32           1            SITTING               tBodyAcc-mean()-X -4.170131e-02
33           1            SITTING               tBodyAcc-mean()-X  1.390367e-02
34           1            SITTING               tBodyAcc-mean()-X  3.036893e-01
35           1            SITTING               tBodyAcc-mean()-X  2.907597e-01
36           1            SITTING               tBodyAcc-mean()-X  2.709082e-01
37           1            SITTING               tBodyAcc-mean()-X  2.795534e-01
38           1            SITTING               tBodyAcc-mean()-X  2.763586e-01
39           1            SITTING               tBodyAcc-mean()-X  2.371541e-01
40           1            SITTING               tBodyAcc-mean()-X  2.731084e-01
41           1            SITTING               tBodyAcc-mean()-X  2.815054e-01
42           1            SITTING               tBodyAcc-mean()-X  2.784322e-01
43           1            SITTING               tBodyAcc-mean()-X  2.733796e-01
44           1            SITTING               tBodyAcc-mean()-X  2.790562e-01
45           1            SITTING               tBodyAcc-mean()-X  2.785991e-01
46           1            SITTING               tBodyAcc-mean()-X  2.732814e-01
47           1            SITTING               tBodyAcc-mean()-X  2.785381e-01
48           1            SITTING               tBodyAcc-mean()-X  2.774612e-01
49           1            SITTING               tBodyAcc-mean()-X  2.739406e-01
50           1            SITTING               tBodyAcc-mean()-X  2.793033e-01
51           1            SITTING               tBodyAcc-mean()-X  2.790872e-01
52           1             LAYING               tBodyAcc-mean()-X  4.034743e-01
53           1             LAYING               tBodyAcc-mean()-X  2.783732e-01
54           1             LAYING               tBodyAcc-mean()-X  2.765553e-01
55           1             LAYING               tBodyAcc-mean()-X  2.795748e-01
56           1             LAYING               tBodyAcc-mean()-X  2.765270e-01
57           1             LAYING               tBodyAcc-mean()-X  2.781233e-01
58           1             LAYING               tBodyAcc-mean()-X  2.780065e-01
59           1             LAYING               tBodyAcc-mean()-X  2.802064e-01
60           1             LAYING               tBodyAcc-mean()-X  2.818277e-01
61           1             LAYING               tBodyAcc-mean()-X  2.767294e-01
62           1             LAYING               tBodyAcc-mean()-X  2.758836e-01
63           1             LAYING               tBodyAcc-mean()-X  2.778302e-01
64           1             LAYING               tBodyAcc-mean()-X  2.793712e-01
65           1             LAYING               tBodyAcc-mean()-X  1.901615e-02
66           1             LAYING               tBodyAcc-mean()-X  3.402085e-01
67           1             LAYING               tBodyAcc-mean()-X -1.664257e-01
68           1             LAYING               tBodyAcc-mean()-X -2.391026e-01
69           1             LAYING               tBodyAcc-mean()-X  3.469685e-01
70           1             LAYING               tBodyAcc-mean()-X  3.038332e-01
71           1             LAYING               tBodyAcc-mean()-X -3.612053e-01
72           1             LAYING               tBodyAcc-mean()-X -2.770663e-01
73           1             LAYING               tBodyAcc-mean()-X  2.574765e-01
74           1             LAYING               tBodyAcc-mean()-X  2.768396e-01
75           1             LAYING               tBodyAcc-mean()-X  2.686509e-01
76           1             LAYING               tBodyAcc-mean()-X  2.852633e-01
77           1             LAYING               tBodyAcc-mean()-X  2.834773e-01
78           1             LAYING               tBodyAcc-mean()-X  2.730271e-01
79           1            WALKING               tBodyAcc-mean()-X  2.820216e-01
80           1            WALKING               tBodyAcc-mean()-X  2.558408e-01
81           1            WALKING               tBodyAcc-mean()-X  2.548672e-01
82           1            WALKING               tBodyAcc-mean()-X  3.433705e-01
83           1            WALKING               tBodyAcc-mean()-X  2.762397e-01
84           1            WALKING               tBodyAcc-mean()-X  2.554682e-01
85           1            WALKING               tBodyAcc-mean()-X  3.211398e-01
86           1            WALKING               tBodyAcc-mean()-X  2.346659e-01
87           1            WALKING               tBodyAcc-mean()-X  3.126340e-01
